county,todays_date,previous_days_covid_confirmed_patients,previous_days_suspected_covid_patients,previous_days_conversion_covid_patients,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Lassen,2020-06-03,0.0,1.0,,0.0,1.0,1.0,25.0,0.0,0.0,
Los Angeles,2020-06-04,437.0,283.0,,1422.0,569.0,1991.0,23149.0,449.0,91.0,1241.0
Inyo,2020-06-04,0.0,0.0,,0.0,0.0,0.0,42.0,0.0,0.0,2.0
Santa Clara,2020-06-05,9.0,7.0,,43.0,32.0,75.0,3375.0,18.0,6.0,206.0
Monterey,2020-06-05,3.0,1.0,,14.0,1.0,15.0,811.0,3.0,0.0,92.0
San Francisco,2020-06-05,14.0,12.0,,42.0,22.0,64.0,2658.0,14.0,4.0,98.0
Sacramento,2020-06-05,4.0,9.0,,35.0,37.0,72.0,2424.0,14.0,7.0,95.0
Contra Costa,2020-06-05,14.0,8.0,,17.0,46.0,63.0,1628.0,6.0,6.0,105.0
Napa,2020-06-05,0.0,1.0,,1.0,2.0,3.0,397.0,1.0,0.0,0.0
Tehama,2020-06-03,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,5.0
Santa Cruz,2020-06-04,1.0,1.0,,2.0,3.0,5.0,397.0,1.0,0.0,16.0
Solano,2020-06-04,6.0,16.0,,10.0,21.0,31.0,707.0,4.0,1.0,48.0
Amador,2020-06-04,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,2.0
Madera,2020-06-05,1.0,13.0,,3.0,2.0,5.0,528.0,1.0,2.0,19.0
Del Norte,2020-06-05,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,2.0
Sonoma,2020-06-06,0.0,2.0,,3.0,13.0,16.0,255.0,3.0,1.0,25.0
San Bernardino,2020-06-06,52.0,34.0,,195.0,59.0,254.0,4807.0,69.0,15.0,147.0
San Diego,,0.0,0.0,,721.0,744.0,456.0,7285.0,267.0,79.0,632.0
Modoc,2020-06-06,,,,0.0,0.0,0.0,4.0,0.0,0.0,
San Luis Obispo,2020-06-06,0.0,0.0,,3.0,4.0,7.0,449.0,2.0,1.0,23.0
Lassen,2020-06-06,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,0.0,
Tulare,2020-06-06,33.0,0.0,,34.0,1.0,35.0,920.0,9.0,0.0,17.0
Fresno,2020-06-06,5.0,15.0,,70.0,41.0,111.0,2137.0,15.0,4.0,88.0
Marin,2020-06-06,1.0,1.0,,3.0,6.0,9.0,390.0,0.0,1.0,18.0
San Mateo,2020-06-06,1.0,1.0,,37.0,21.0,58.0,1101.0,7.0,0.0,53.0
Madera,2020-06-06,1.0,0.0,,5.0,3.0,8.0,528.0,1.0,0.0,22.0
Santa Barbara,2020-06-06,8.0,6.0,,30.0,3.0,33.0,717.0,9.0,1.0,69.0
Madera,2020-06-03,0.0,5.0,,0.0,0.0,0.0,528.0,1.0,0.0,19.0
Madera,2020-06-04,0.0,5.0,,1.0,1.0,2.0,528.0,1.0,0.0,24.0
Humboldt,2020-06-04,0.0,4.0,,0.0,2.0,2.0,352.0,0.0,2.0,2.0
Butte,2020-06-05,0.0,0.0,,2.0,0.0,2.0,448.0,1.0,0.0,21.0
Ventura,2020-06-05,8.0,38.0,,29.0,21.0,50.0,1357.0,9.0,3.0,45.0
Yuba,2020-06-05,,,,3.0,0.0,3.0,445.0,2.0,0.0,13.0
Sutter,2020-06-05,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
Orange,,0.0,3.0,,318.0,551.0,221.0,9221.0,126.0,122.0,1584.0
Santa Cruz,2020-06-06,0.0,0.0,,0.0,0.0,0.0,291.0,0.0,0.0,11.0
Inyo,2020-06-06,0.0,0.0,,0.0,0.0,0.0,42.0,0.0,0.0,4.0
Nevada,2020-06-06,0.0,0.0,,0.0,2.0,2.0,130.0,0.0,0.0,4.0
Sutter,2020-06-06,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
San Diego,2020-06-08,107.0,39.0,,271.0,78.0,349.0,5855.0,138.0,23.0,313.0
Sonoma,2020-06-08,0.0,24.0,,5.0,74.0,79.0,871.0,3.0,10.0,47.0
Santa Clara,2020-06-08,5.0,4.0,,44.0,17.0,61.0,3375.0,19.0,3.0,229.0
Riverside,2020-06-08,101.0,88.0,,220.0,108.0,328.0,3987.0,71.0,18.0,128.0
San Diego,2020-06-07,102.0,45.0,,286.0,73.0,359.0,5907.0,131.0,16.0,333.0
Santa Clara,2020-06-07,1.0,4.0,,38.0,31.0,69.0,3375.0,15.0,6.0,216.0
Los Angeles,2020-06-07,373.0,455.0,,1383.0,540.0,1923.0,22986.0,416.0,88.0,1214.0
San Bernardino,2020-06-07,50.0,34.0,,164.0,57.0,221.0,4821.0,72.0,11.0,158.0
Sacramento,2020-06-07,0.0,5.0,,33.0,26.0,59.0,2399.0,14.0,8.0,90.0
San Bernardino,2020-06-08,57.0,27.0,,197.0,54.0,251.0,4807.0,74.0,12.0,156.0
Trinity,2020-06-08,,3.0,,0.0,3.0,3.0,54.0,0.0,0.0,
Shasta,2020-06-07,0.0,0.0,,0.0,0.0,0.0,667.0,0.0,0.0,12.0
Humboldt,2020-06-08,0.0,3.0,,1.0,6.0,7.0,352.0,0.0,0.0,3.0
Orange,2020-06-08,101.0,56.0,,327.0,64.0,391.0,6976.0,149.0,11.0,410.0
Mariposa,2020-06-07,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
Tulare,2020-06-08,25.0,0.0,,34.0,2.0,36.0,743.0,8.0,0.0,10.0
El Dorado,2020-06-08,2.0,4.0,,1.0,5.0,6.0,235.0,1.0,2.0,11.0
San Luis Obispo,2020-06-08,0.0,0.0,,3.0,0.0,3.0,480.0,2.0,0.0,26.0
Colusa,2020-06-07,0.0,2.0,,0.0,0.0,0.0,88.0,0.0,1.0,5.0
Riverside,2020-06-07,102.0,83.0,,217.0,79.0,296.0,3958.0,63.0,19.0,134.0
Calaveras,2020-06-07,0.0,1.0,,0.0,1.0,1.0,50.0,0.0,0.0,12.0
Stanislaus,2020-06-07,12.0,1.0,,27.0,10.0,37.0,1319.0,9.0,0.0,73.0
El Dorado,2020-06-07,1.0,4.0,,2.0,4.0,6.0,199.0,2.0,1.0,9.0
Imperial,2020-06-07,52.0,0.0,,87.0,1.0,88.0,237.0,18.0,0.0,7.0
Ventura,2020-06-08,18.0,45.0,,42.0,27.0,69.0,1327.0,12.0,10.0,47.0
Modoc,2020-06-08,0.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,
Fresno,2020-06-08,9.0,11.0,,70.0,37.0,107.0,2132.0,15.0,2.0,97.0
Mendocino,2020-06-08,0.0,0.0,,1.0,0.0,1.0,180.0,1.0,0.0,2.0
Glenn,2020-06-08,0.0,0.0,,0.0,0.0,0.0,47.0,0.0,0.0,
Marin,2020-06-08,2.0,2.0,,2.0,0.0,2.0,390.0,2.0,0.0,16.0
Ventura,2020-06-07,17.0,48.0,,39.0,32.0,71.0,1329.0,11.0,6.0,48.0
Humboldt,2020-06-07,0.0,1.0,,1.0,3.0,4.0,278.0,0.0,0.0,3.0
San Francisco,2020-06-08,10.0,3.0,,23.0,6.0,29.0,2197.0,10.0,1.0,95.0
San Francisco,2020-06-07,23.0,19.0,,34.0,14.0,48.0,2337.0,13.0,1.0,88.0
Solano,2020-06-08,5.0,21.0,,13.0,15.0,28.0,707.0,3.0,2.0,47.0
Contra Costa,2020-06-08,16.0,10.0,,20.0,35.0,55.0,1628.0,7.0,6.0,116.0
Fresno,2020-06-07,4.0,3.0,,69.0,31.0,100.0,2139.0,16.0,4.0,97.0
Colusa,2020-06-08,0.0,1.0,,0.0,1.0,1.0,88.0,0.0,1.0,5.0
Inyo,2020-06-08,1.0,0.0,,1.0,0.0,1.0,42.0,0.0,0.0,4.0
Tuolumne,2020-06-07,,,,0.0,0.0,0.0,151.0,0.0,0.0,3.0
Lake,2020-06-07,0.0,0.0,,0.0,0.0,0.0,110.0,0.0,0.0,4.0
Kings,2020-06-07,1.0,,,27.0,1.0,28.0,199.0,9.0,1.0,4.0
San Diego,2020-06-09,110.0,57.0,,279.0,72.0,351.0,5915.0,136.0,12.0,311.0
Santa Clara,2020-06-09,0.0,1.0,,41.0,18.0,59.0,3375.0,18.0,3.0,213.0
Riverside,,,,,348.0,354.0,313.0,3646.0,80.0,89.0,277.0
Butte,2020-06-09,1.0,0.0,,6.0,0.0,6.0,448.0,2.0,1.0,16.0
Riverside,2020-06-09,107.0,83.0,,226.0,106.0,332.0,3936.0,73.0,18.0,130.0
Monterey,2020-06-09,2.0,0.0,,13.0,0.0,13.0,811.0,3.0,0.0,92.0
Kern,2020-06-09,9.0,14.0,,83.0,22.0,105.0,1742.0,30.0,4.0,75.0
Modoc,2020-06-09,0.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,
Tulare,2020-06-09,27.0,2.0,,36.0,8.0,44.0,743.0,6.0,1.0,12.0
Contra Costa,2020-06-09,16.0,5.0,,21.0,40.0,61.0,1628.0,10.0,4.0,106.0
San Joaquin,2020-06-09,13.0,24.0,,45.0,31.0,76.0,1366.0,18.0,7.0,17.0
Mariposa,2020-06-09,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
Marin,2020-06-07,3.0,0.0,,1.0,6.0,7.0,390.0,0.0,0.0,16.0
Tuolumne,2020-06-08,,1.0,,0.0,0.0,0.0,151.0,0.0,0.0,5.0
Trinity,2020-06-09,,3.0,,0.0,2.0,2.0,54.0,0.0,0.0,
Alameda,2020-06-09,9.0,30.0,,94.0,52.0,146.0,2968.0,32.0,9.0,137.0
Lassen,2020-06-09,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,0.0,
Nevada,2020-06-07,0.0,0.0,,0.0,1.0,1.0,127.0,0.0,0.0,6.0
Amador,2020-06-08,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,3.0
Amador,2020-06-07,0.0,0.0,,0.0,1.0,1.0,51.0,0.0,0.0,0.0
Mendocino,2020-06-09,0.0,0.0,,1.0,0.0,1.0,180.0,1.0,0.0,1.0
Sutter,2020-06-07,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
Inyo,2020-06-07,0.0,0.0,,0.0,0.0,0.0,42.0,0.0,0.0,4.0
Del Norte,2020-06-09,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,1.0
Sutter,2020-06-09,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
Siskiyou,2020-06-09,0.0,0.0,,0.0,1.0,1.0,65.0,0.0,1.0,5.0
Inyo,2020-06-10,0.0,0.0,,1.0,0.0,1.0,42.0,0.0,0.0,4.0
Plumas,2020-06-10,,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,
Orange,2020-06-10,98.0,73.0,,312.0,72.0,384.0,6976.0,143.0,10.0,392.0
Colusa,2020-06-10,0.0,0.0,,0.0,0.0,0.0,88.0,0.0,0.0,6.0
Kern,2020-06-10,7.0,20.0,,75.0,20.0,95.0,1367.0,29.0,10.0,34.0
San Luis Obispo,2020-06-10,0.0,2.0,,3.0,2.0,5.0,456.0,2.0,0.0,23.0
Trinity,2020-06-10,,2.0,,0.0,1.0,1.0,54.0,0.0,0.0,
San Mateo,2020-06-10,8.0,2.0,,29.0,11.0,40.0,1049.0,7.0,2.0,50.0
Modoc,2020-06-10,0.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,
Stanislaus,2020-06-10,12.0,4.0,,26.0,15.0,41.0,1369.0,11.0,4.0,83.0
Sacramento,2020-06-10,3.0,11.0,,36.0,26.0,62.0,2471.0,13.0,5.0,97.0
Santa Barbara,2020-06-10,12.0,7.0,,26.0,5.0,31.0,717.0,6.0,0.0,68.0
Alameda,2020-06-10,12.0,30.0,,88.0,46.0,134.0,2968.0,32.0,11.0,147.0
