"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"221","Los Angeles - Wilmington",527,933,946,6,11,12,3883,6874,6985,56487
"222","Los Angeles - Wilshire Center",430,857,814,24,48,47,4195,8362,7875,50170
"223","Los Angeles - Winnetka",447,863,818,6,12,11,5600,10814,10375,51786
"224","Los Angeles - Woodland Hills",276,406,381,17,25,16,8539,12547,11690,68055
"225","Unincorporated - Acton",21,263,300,2,25,18,457,5733,5537,7971
"226","Unincorporated - Agua Dulce",13,313,382,0,0,0,248,5964,6323,4158
"227","Unincorporated - Altadena",217,497,508,6,14,11,3651,8370,8173,43620
"228","Unincorporated - Anaverde",4,265,330,0,0,0,73,4841,5503,1508
"229","Unincorporated - Angeles National Forest",2,161,152,0,0,0,35,2811,2552,1245
"230","Unincorporated - Arcadia",19,238,223,0,0,0,641,8032,7738,7981
"231","Unincorporated - Athens Village",59,1205,1244,4,82,79,799,16316,16561,4897
"232","Unincorporated - Athens-Westmont",442,1041,1037,10,24,25,3765,8871,8947,42442
"233","Unincorporated - Avocado Heights",66,974,1006,1,15,14,453,6686,6575,6775
"234","Unincorporated - Azusa",137,860,836,2,13,17,1137,7141,6974,15923
"235","Unincorporated - Bassett",217,1465,1440,5,34,34,1325,8942,8749,14817
"236","Unincorporated - Bouquet Canyon",1,93,82,1,93,82,35,3262,3266,1073
"237","Unincorporated - Bradbury",2,1852,271,0,0,0,83,76852,6706,108
"238","Unincorporated - Canyon Country",43,556,568,0,0,0,678,8773,9422,7728
"239","Unincorporated - Castaic",1777,6535,5949,2,7,8,1502,5524,5562,27191
"240","Unincorporated - Covina",117,696,680,1,6,7,1234,7337,7081,16819
"241","Unincorporated - Covina (Charter Oak)",87,662,657,0,0,0,947,7205,6999,13144
"242","Unincorporated - Del Aire",25,569,530,1,23,25,363,8263,7711,4393
"243","Unincorporated - Del Rey",1,314,425,0,0,0,73,22956,32256,318
"244","Unincorporated - Del Sur",3,124,73,1,41,20,112,4638,5132,2415
"245","Unincorporated - Desert View Highlands",7,281,281,1,40,24,154,6177,6114,2493
"246","Unincorporated - Duarte",32,723,713,1,23,17,530,11969,11905,4428
"247","Unincorporated - East La Mirada",31,586,564,0,0,0,323,6104,5953,5292
"248","Unincorporated - East Los Angeles",2295,1832,1853,56,45,53,13392,10691,10737,125269
"249","Unincorporated - East Pasadena",4,62,60,0,0,0,163,2546,2572,6403
"250","Unincorporated - East Rancho Dominguez",168,1097,1097,3,20,23,1232,8048,8142,15308
"251","Unincorporated - East Whittier",22,415,414,0,0,0,314,5918,5766,5306
"252","Unincorporated - El Camino Village",70,796,787,2,23,16,674,7667,7753,8791
"253","Unincorporated - El Monte",1,690,538,0,0,0,8,5517,7291,145
"254","Unincorporated - Elizabeth Lake",4,241,226,0,0,0,62,3733,4028,1661
"255","Unincorporated - Florence-Firestone",1239,1915,1962,22,34,45,6196,9576,9670,64705
"256","Unincorporated - Glendora",3,455,749,0,0,0,35,5303,6083,660
